Date,P1,P2,P3,P4,P5,Red
2025-01-03,4,12,24,25,27,6
2025-01-08,3,17,23,34,35,8
2025-01-10,4,10,13,19,27,6
2025-01-13,5,22,28,31,32,2
2025-01-15,15,18,25,27,28,6
2025-01-17,13,15,25,28,35,8
2025-01-20,2,8,11,25,29,7
2025-01-22,8,14,21,22,28,7
2025-01-24,1,4,9,10,16,2
2025-01-27,2,19,26,27,33,2
2025-01-29,13,17,26,31,33,6
2025-01-31,16,22,26,32,35,1
2025-02-03,12,14,23,24,29,6
2025-02-05,3,4,5,14,29,2
2025-02-07,5,8,13,14,18,6
2025-02-10,5,9,12,18,24,7
2025-02-12,2,7,9,22,24,5
2025-02-14,6,8,18,24,29,6
2025-02-17,26,27,30,33,35,8
2025-02-19,1,21,22,26,31,3
2025-02-21,7,10,29,31,33,6
2025-02-24,14,18,21,32,35,1
2025-02-26,21,24,28,29,35,4
2025-02-28,11,15,18,20,24,6
2025-03-03,6,18,22,32,35,7
2025-03-05,11,12,29,30,31,6
2025-03-07,3,6,13,17,33,8
2025-03-10,10,14,19,25,26,3
2025-03-12,2,7,9,18,21,4
2025-03-14,5,8,18,23,31,4
2025-03-17,9,16,21,23,26,3
2025-03-19,6,9,10,16,24,9
2025-03-21,12,15,16,32,34,1
2025-03-24,5,14,21,22,24,6
2025-03-26,2,8,13,16,31,1
2025-03-28,3,5,15,16,34,3
2025-03-31,5,16,20,31,33,10
2025-04-02,3,9,17,26,33,2
2025-04-04,1,8,28,30,34,9
2025-04-07,1,18,23,28,31,3
2025-04-09,12,19,21,24,29,8
2025-04-11,13,16,28,29,31,9
2025-04-14,6,22,24,25,35,8
2025-04-16,2,9,32,34,35,6
2025-04-21,12,17,18,32,33,9
2025-04-23,8,14,20,26,34,6
2025-04-25,12,18,21,26,33,9
2025-04-28,3,11,22,33,34,10
2025-04-30,9,10,12,17,20,2
2025-05-02,4,5,8,14,24,1
2025-05-05,4,5,16,21,27,10
2025-05-07,2,16,23,27,33,2
2025-05-09,4,9,11,15,23,8
2025-05-12,13,16,20,26,35,8
2025-05-14,3,17,19,29,30,8
2025-05-16,5,14,16,17,26,7
2025-05-19,2,3,18,22,33,5
2025-05-21,4,9,16,21,31,10
2025-05-23,3,7,12,24,29,5
2025-05-26,3,20,28,29,34,3
2025-05-28,4,14,15,16,22,4
2025-05-30,8,13,17,20,34,7
2025-06-02,1,15,16,30,34,2
2025-06-04,11,16,22,24,28,8
2025-06-06,3,13,20,22,31,3
2025-06-09,6,24,27,28,31,4
2025-06-11,1,3,5,9,13,3
2025-06-13,2,14,16,19,21,9
2025-06-16,1,5,17,22,28,5
2025-06-18,1,9,16,17,24,1
2025-06-20,6,12,26,28,31,3
2025-06-23,11,18,22,24,33,7
2025-06-25,1,11,12,30,33,4
2025-06-27,6,13,25,26,34,4
